frame_number,num_detections
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,4
11,4
12,4
13,4
14,4
15,4
16,5
17,5
18,5
19,4
20,5
21,5
22,6
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,4
32,4
33,5
34,5
35,5
36,5
37,6
38,5
39,7
40,7
41,7
42,6
43,6
44,7
45,7
46,7
47,7
48,7
49,7
50,6
51,7
52,7
53,6
54,7
55,7
56,5
57,7
58,5
59,6
60,7
61,6
62,7
63,6
64,7
65,7
66,8
67,7
68,7
69,7
70,7
71,7
72,7
73,6
74,7
75,8
76,8
77,9
78,8
79,8
80,8
81,7
82,8
83,8
84,8
85,8
86,8
87,8
88,8
89,8
90,8
91,8
92,7
93,8
94,8
95,7
96,6
97,7
98,6
99,7
100,8
101,7
102,8
103,7
104,6
105,8
106,8
107,6
108,6
109,6
110,6
111,6
112,7
113,7
114,7
115,8
116,7
117,8
118,9
119,9
120,9
121,8
122,9
123,9
124,9
125,9
126,9
127,8
128,9
129,8
130,6
131,8
132,8
133,9
134,10
135,8
136,10
137,11
138,11
139,9
140,9
141,9
142,9
143,10
144,10
145,10
146,11
147,12
148,10
149,8
150,7
151,8
152,7
153,9
154,8
155,7
156,8
157,9
158,7
159,7
160,8
161,7
162,7
163,7
164,7
165,7
166,8
167,7
168,8
169,9
170,8
171,8
172,8
173,8
174,7
175,8
176,7
177,7
178,7
179,7
180,7
181,7
182,7
183,8
184,7
185,7
186,7
187,7
188,7
189,7
190,7
191,7
192,7
193,7
194,7
195,7
196,7
197,7
198,7
199,7
200,7
201,7
202,7
203,7
204,7
205,7
206,7
207,7
208,7
209,7
210,7
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,7
219,7
220,7
221,7
222,6
223,6
224,6
225,6
226,7
227,7
228,7
229,7
230,7
231,8
232,7
233,7
234,7
235,7
236,7
237,8
238,8
239,8
240,7
241,7
242,7
243,7
244,7
245,7
246,7
247,7
248,7
249,7
250,7
251,7
252,7
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,7
261,7
262,7
263,7
264,7
265,8
266,7
267,7
268,7
269,7
270,7
271,7
272,6
273,7
274,7
275,7
276,7
277,8
278,8
279,7
280,7
281,7
282,7
283,7
284,7
285,7
286,7
287,7
288,6
289,6
290,6
291,6
292,6
293,6
294,5
295,6
296,6
297,6
298,6
299,6
300,6
301,6
302,6
303,6
304,5
305,6
306,6
307,6
308,6
309,6
310,6
311,6
312,6
313,6
314,6
315,6
316,6
317,6
318,6
319,8
320,6
321,6
322,6
323,6
324,6
325,6
326,6
327,6
328,6
329,6
330,6
331,6
332,6
333,6
334,6
335,6
336,6
337,6
338,5
339,5
340,5
341,6
342,6
343,6
344,5
345,5
346,6
347,6
348,6
349,6
350,5
351,5
352,6
353,5
354,5
355,5
356,6
357,6
358,6
359,6
360,6
361,6
362,6
363,6
364,6
365,6
366,5
367,5
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,4
377,4
378,4
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,4
387,4
388,4
389,4
390,4
391,4
392,4
393,4
394,4
395,4
396,3
397,3
398,3
399,3
400,3
401,3
402,3
403,3
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,2
415,2
416,2
417,2
418,2
419,2
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,3
0,3
1,3
2,3
3,3
4,3
0,3
0,4
0,4
0,1
1,1
2,1
3,1
4,2
5,1
0,3
1,3
2,3
3,3
4,3
5,3
6,3
0,3
0,1
0,3
1,3
0,3
0,4
0,2
1,1
2,2
3,2
4,2
5,3
6,3
0,3
1,3
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
0,9
1,10
2,8
3,8
4,9
5,7
6,9
7,8
8,7
9,7
10,8
11,11
0,3
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,4
11,4
12,4
0,6
0,2
1,0
2,0
3,0
0,2
1,2
2,3
3,3
4,2
5,2
6,2
7,3
